sku,retail_price,purchase_price
BO.9941.L.8.S,1000.0,
BO.9941.L.8.T,1000.0,
BO.9941.R.8.S,1000.0,
BO.9941.R.8.T,1000.0,
3010531072,270000.0,
3010532072,270000.0,
3010622059,270000.0,
3010511060,270000.0,
3010512060,270000.0,
3010621059.L,270000.0,
5270-01021,1000.0,100000.0
5270-01022,,100000.0
5270-01031,210000.0,
5270-01032,1000.0,
5270-01041,1000.0,100000.0
5270-01042,1000.0,
5270-01051,1000.0,100000.0
5270-01052,1000.0,
5270-01061,,100000.0
5270-01062,210000.0,
5270-01071,210000.0,
5270-01072,245000.0,100000.0
5210-01021,161000.0,51000.0
5210-01022,161000.0,51000.0
5210-01031,161000.0,51000.0
5210-01032,161000.0,51000.0
5210-01041,161000.0,51000.0
5210-01042,161000.0,51000.0
5210-01051,161000.0,51000.0
5210-01052,161000.0,51000.0
5210-01061,161000.0,51000.0
5210-01062,161000.0,51000.0
5210-01071,161000.0,51000.0
5210-01072,161000.0,51000.0
5210-01081,161000.0,51000.0
5210-01082,161000.0,51000.0
5126-30021,45000.0,
5126-30022,45000.0,
3210-13220,30000.0,19000.0
3210-03280,1000.0,19000.0
3210-10280,1000.0,19000.0
3210-13280,1000.0,19000.0
3210-16280,1000.0,19000.0
3210-03320,1000.0,19000.0
3210-06320,29000.0,19000.0
3210-10320,1000.0,19000.0
3210-13320,1000.0,19000.0
3210-16320,1000.0,19000.0
3210-03360,1000.0,19000.0
3210-06360,1000.0,19000.0
